,CA,TX,MT,OH,KS
2017-07-28,3537.0,904.0,418.0,479.0,1245.0
2017-07-27,2896.0,755.0,378.0,457.0,1112.0
2017-07-26,2605.0,712.0,386.0,466.0,909.0
2017-07-31,3095.0,,357.0,467.0,1160.0
2017-07-29,3272.0,763.0,388.0,529.0,1452.0
2017-07-30,3784.0,857.0,400.0,445.0,1407.0
2017-08-21,2405.0,602.0,273.0,499.0,636.0
2017-08-20,3248.0,643.0,389.0,419.0,1008.0
2017-08-22,2093.0,593.0,361.0,485.0,767.0
2017-08-23,2094.0,620.0,349.0,504.0,668.0
2017-08-18,3324.0,799.0,449.0,521.0,949.0
2017-08-19,3573.0,655.0,400.0,626.0,1022.0
2017-08-16,2247.0,685.0,409.0,531.0,788.0
2017-08-17,2535.0,676.0,404.0,550.0,846.0
2017-08-30,1646.0,477.0,299.0,468.0,671.0
2017-08-29,1665.0,467.0,330.0,437.0,594.0
2017-08-27,2801.0,,359.0,403.0,877.0
2017-08-28,2027.0,462.0,336.0,432.0,705.0
2017-08-24,2330.0,674.0,387.0,505.0,706.0
2017-08-25,2742.0,,744.0,523.0,807.0
2017-08-26,2613.0,,483.0,523.0,767.0
2017-08-10,2776.0,,386.0,502.0,989.0
2017-08-09,2260.0,,384.0,492.0,855.0
2017-08-12,3375.0,748.0,397.0,517.0,1165.0
2017-08-11,3205.0,849.0,428.0,517.0,1087.0
2017-08-13,3298.0,841.0,408.0,447.0,1203.0
2017-08-15,2284.0,638.0,374.0,529.0,
2017-08-14,2799.0,,393.0,463.0,934.0
2017-08-05,3415.0,,471.0,520.0,1324.0
2017-08-06,3711.0,,505.0,432.0,1354.0
2017-08-08,2240.0,,380.0,464.0,835.0
2017-08-07,2946.0,,383.0,487.0,974.0
2017-08-03,2779.0,,397.0,531.0,1075.0
2017-08-04,3595.0,,416.0,462.0,1177.0
2017-08-02,2299.0,,369.0,500.0,960.0
2017-08-01,2486.0,,358.0,429.0,902.0
2017-08-31,2164.0,534.0,350.0,455.0,818.0
2017-09-29,2371.0,770.0,337.0,512.0,823.0
2017-09-30,2282.0,641.0,270.0,543.0,722.0
2017-09-25,1998.0,594.0,306.0,475.0,750.0
2017-09-26,1588.0,,288.0,471.0,635.0
2017-09-27,1554.0,683.0,273.0,462.0,663.0
2017-09-28,1780.0,712.0,287.0,515.0,758.0
2017-09-22,2940.0,629.0,339.0,538.0,798.0
2017-09-24,2937.0,607.0,277.0,449.0,829.0
2017-09-23,2616.0,559.0,272.0,601.0,845.0
2017-09-21,2214.0,619.0,333.0,518.0,696.0
2017-09-20,1684.0,595.0,346.0,512.0,631.0
2017-09-18,2203.0,570.0,275.0,464.0,700.0
2017-09-17,2478.0,606.0,285.0,430.0,867.0
2017-09-19,1554.0,584.0,302.0,458.0,617.0
2017-09-01,3209.0,769.0,443.0,526.0,1193.0
2017-09-02,3670.0,658.0,379.0,503.0,1011.0
2017-09-03,1985.0,439.0,296.0,393.0,801.0
2017-09-04,4282.0,718.0,366.0,405.0,1291.0
2017-09-05,2068.0,543.0,345.0,516.0,824.0
2017-09-06,1754.0,500.0,317.0,355.0,661.0
2017-09-07,1829.0,570.0,315.0,476.0,774.0
2017-09-11,2089.0,521.0,341.0,407.0,728.0
2017-09-10,2411.0,581.0,342.0,394.0,860.0
2017-09-12,1614.0,547.0,295.0,466.0,582.0
2017-09-09,2286.0,548.0,319.0,494.0,785.0
2017-09-08,2535.0,635.0,349.0,507.0,852.0
